Episode,AI_Won,Total_Reward,Epsilon
1,0,-1531.34,1
2,0,-2178.56,0.995
3,0,-1206.73,0.99
4,0,-2155.46,0.985
5,0,-1023.89,0.98
6,0,-2403.45,0.975
7,0,-1548.16,0.97
8,0,-1719.13,0.965
9,0,-1223.32,0.96
10,0,-1975.06,0.955
11,0,-1269.95,0.95
12,0,-1850.52,0.945
13,0,-1641.91,0.94
14,0,-1434.09,0.935
15,0,-2263.35,0.93
16,0,-1008.2,0.925
17,0,-599.512,0.92
18,0,-979.882,0.915
19,0,-3607.58,0.91
20,1,2960.34,0.905
21,1,-799.139,0.9
22,1,-739.48,0.895
23,1,3900.94,0.89
24,0,-2425.63,0.885
25,0,-1213.93,0.88
26,0,-802.519,0.875
27,0,-1374,0.87
28,0,-975.25,0.865
29,0,-1049.76,0.86
30,0,-1032.43,0.855
31,0,-958.987,0.85
32,0,-1361.95,0.845
33,0,-717.071,0.84
34,0,-1450.04,0.835
35,0,-685.222,0.83
36,0,-1856.99,0.825
37,0,-655.493,0.82
38,0,-2041.97,0.815
39,0,-545.944,0.81
40,0,-2062.22,0.805
41,0,1326.08,0.8
42,0,-1108.46,0.795
43,0,-673.196,0.79
44,0,-2625.61,0.785
45,0,-328.892,0.78
46,0,-778.224,0.775
47,0,-2683.96,0.77
48,0,-183.203,0.765
49,0,-1910.66,0.76
50,1,314.619,0.755
51,1,-584.392,0.75
52,1,-2352.94,0.745
53,1,-753.913,0.74
54,0,-6561.13,0.735
55,0,-1982.69,0.73
56,0,-743.88,0.725
57,0,-2237.36,0.72
58,1,963.563,0.715
59,0,-2765.7,0.71
60,0,-555.627,0.705
61,0,-1487.05,0.7
62,0,-468.505,0.695
63,0,-2292.5,0.69
64,1,809.833,0.685
65,0,-3277.05,0.68
66,0,-2674.05,0.675
67,0,-3326.7,0.67
68,0,-916.49,0.665
69,0,-3060.98,0.66
70,0,1088.74,0.655
71,0,-3650.21,0.65
72,0,-1084.21,0.645
73,0,-3738.32,0.64
74,0,-700.515,0.635
75,0,-2625.37,0.63
76,0,-2721.8,0.625
77,0,-3587.03,0.62
78,0,-2102.12,0.615
79,0,-2749.21,0.61
80,0,-1131.03,0.605
81,0,-2995.8,0.6
82,0,-694.04,0.595
83,0,-2514.62,0.59
84,0,-1049.7,0.585
85,0,-3634.22,0.58
86,0,942.368,0.575
87,0,-2158.44,0.57
88,1,2701.21,0.565
89,0,-2757.34,0.56
90,0,-2124.19,0.555
91,0,-585.558,0.55
92,0,-2129.44,0.545
93,0,-982.938,0.54
94,0,-3018.51,0.535
95,1,5671.1,0.53
96,0,-4158.68,0.525
97,0,-1351.37,0.52
98,0,-2431.23,0.515
99,0,-1111.93,0.51
100,0,-2281.92,0.505
101,0,-1665.2,0.5
102,0,-1166.69,0.495
103,0,-2247.91,0.49
104,0,-300.988,0.485
105,0,-3258.39,0.48
106,0,-535.886,0.475001
107,0,-3241.79,0.470001
108,0,-149.897,0.465001
109,0,-3228.52,0.460001
110,0,-369.252,0.455001
111,0,-3464.64,0.450001
112,0,-471.141,0.445001
113,0,-3111.03,0.440001
114,0,-608.756,0.435001
115,0,-2894.28,0.430001
116,0,179.137,0.425001
117,0,-1507.5,0.420001
118,0,-641.394,0.415001
